show_id,tipo,pais
MOV_31967,Película,Japan
MOV_31967,Película,Singapore
MOV_31967,Película,South Korea
MOV_51533,Película,China
MOV_51533,Película,Hong Kong
MOV_32823,Película,United States of America
MOV_58496,Película,United Kingdom
MOV_58496,Película,United States of America
MOV_58496,Película,France
MOV_23742,Película,United States of America
MOV_97375,Película,Japan
MOV_45752,Película,United States of America
MOV_43549,Película,United States of America
MOV_51170,Película,United States of America
MOV_183443,Película,United States of America
MOV_42888,Película,United States of America
MOV_39957,Película,United States of America
MOV_58857,Película,Japan
MOV_58857,Película,United Kingdom
MOV_39486,Película,United States of America
MOV_44603,Película,United States of America
MOV_43930,Película,Australia
MOV_45162,Película,United States of America
MOV_35558,Película,United States of America
MOV_37821,Película,United States of America
MOV_59421,Película,South Korea
MOV_52274,Película,Belgium
MOV_52274,Película,Spain
MOV_16290,Película,United States of America
MOV_34751,Película,South Africa
MOV_34751,Película,United States of America
MOV_47407,Película,United States of America
MOV_41515,Película,United States of America
MOV_41515,Película,New Zealand
MOV_49953,Película,Belgium
MOV_49953,Película,France
MOV_49953,Película,Italy
MOV_49953,Película,United States of America
MOV_36865,Película,Japan
MOV_35056,Película,United States of America
MOV_103450,Película,Japan
MOV_44040,Película,United States of America
MOV_41180,Película,United States of America
MOV_72013,Película,Japan
MOV_34806,Película,United States of America
MOV_50087,Película,Japan
MOV_44945,Película,United States of America
MOV_37757,Película,United States of America
MOV_46332,Película,France
MOV_45657,Película,United Kingdom
MOV_45657,Película,United States of America
MOV_43956,Película,United States of America
MOV_50542,Película,China
MOV_39013,Película,Netherlands
MOV_39013,Película,United States of America
MOV_43933,Película,United Kingdom
MOV_45284,Película,France
MOV_45284,Película,Japan
MOV_44092,Película,China
MOV_44092,Película,Hong Kong
MOV_44092,Película,Taiwan
MOV_49852,Película,United Kingdom
MOV_49852,Película,Hungary
MOV_45132,Película,United States of America
MOV_43919,Película,United States of America
MOV_63700,Película,Canada
MOV_51256,Película,United States of America
MOV_39681,Película,Canada
MOV_38579,Película,United States of America
MOV_27585,Película,United States of America
MOV_44639,Película,United States of America
MOV_26390,Película,United States of America
MOV_89636,Película,Japan
MOV_22972,Película,France
MOV_22972,Película,Japan
MOV_22972,Película,Spain
MOV_22972,Película,United Kingdom
MOV_22972,Película,United States of America
MOV_50037,Película,Canada
MOV_33602,Película,United States of America
MOV_43552,Película,United States of America
MOV_56743,Película,United States of America
MOV_56832,Película,Japan
MOV_39691,Película,United States of America
MOV_39691,Película,Australia
MOV_41210,Película,United States of America
MOV_50388,Película,Japan
MOV_12819,Película,India
MOV_12819,Película,United States of America
MOV_38357,Película,United States of America
MOV_49787,Película,Australia
MOV_30061,Película,United States of America
MOV_46420,Película,Australia
MOV_41215,Película,United Kingdom
MOV_41215,Película,Germany
MOV_42194,Película,Japan
MOV_42194,Película,United States of America
MOV_38363,Película,United States of America
MOV_38363,Película,United Arab Emirates
MOV_86184,Película,Japan
MOV_43923,Película,United States of America
MOV_183392,Película,United States of America
MOV_37414,Película,Canada
MOV_37414,Película,Sweden
MOV_37414,Película,United Kingdom
MOV_37414,Película,United States of America
MOV_52208,Película,United States of America
MOV_48838,Película,United Kingdom
MOV_48838,Película,United States of America
MOV_35690,Película,United States of America
MOV_45958,Película,Mexico
